,size_bytes,height,width,framespersecond,duration,i_frame,b_frame,p_frame,channel_s,frame_count,proportion_of_this_stream,stream_size,len_text,bit_rate_mode_cbr,bit_rate_mode_vbr,channel_layout_c,channel_layout_l_r,channel_positions_front_c,channel_positions_front_l_r,other_bit_rate_mode_constant,other_bit_rate_mode_variable,bitrate
110,132568154.0,360.0,480.0,25,2543.76,1531,0,62063,2,109559,0.23028,30527460,4081,0,1,0,1,0,1,0,1,416
111,93774194.0,360.0,640.0,23,1457.521739130435,710,0,32813,2,60220,0.17894000000000002,16779668,3452,0,1,0,1,0,1,0,1,536
112,92611018.0,360.0,640.0,23,1458.0434782608695,713,0,32822,2,60242,0.18125,16785798,2388,0,1,0,1,0,1,0,1,529
113,277436354.0,720.0,1280.0,23,1457.8260869565215,623,13243,19664,2,60228,0.08065,22375862,2752,0,1,0,1,0,1,0,1,1587
114,97151230.0,360.0,640.0,23,1458.2608695652175,715,0,32825,2,60251,0.17281,16788305,2123,0,1,0,1,0,1,0,1,555
115,259546041.0,720.0,1280.0,23,1458.6521739130435,553,19093,13903,2,60262,0.08626,22388494,467,0,1,0,1,0,1,0,1,1483
116,242494526.0,720.0,1280.0,23,1458.2608695652175,617,16821,16102,2,60246,0.0923,22382550,470,0,1,0,1,0,1,0,1,1386
117,93825565.0,360.0,640.0,23,1458.5652173913047,718,0,32829,2,60264,0.17897000000000002,16791928,2399,0,1,0,1,0,1,0,1,536
118,100300602.0,360.0,640.0,23,1458.4347826086953,711,0,32833,2,60258,0.1674,16790256,1276,0,1,0,1,0,1,0,1,573
119,90488288.0,360.0,640.0,23,1458.2608695652175,722,0,32818,2,60251,0.18553,16788305,2228,0,1,0,1,0,1,0,1,517
120,88502980.0,360.0,638.0,23,1458.391304347826,804,0,32739,2,60256,0.18971,16789699,3198,0,1,0,1,0,1,0,1,506
121,86251122.0,360.0,640.0,23,1458.695652173913,718,0,32832,2,60269,0.1947,16793321,3570,0,1,0,1,0,1,0,1,493
122,98761086.0,360.0,640.0,23,1458.4347826086953,748,0,32796,2,60258,0.17001,16790256,3524,0,1,0,1,0,1,0,1,564
123,8699578.0,480.0,854.0,23,136.6086956521739,32,1745,1365,2,5646,0.24111,2097597,1254,1,0,0,1,0,1,1,0,530
